,company_count,Sum_ebitdaUSD,Sum_marketCapUSD,Sum_totalRevenueUSD,Sum_fullTimeEmployees,Median_grossMargins,Median_operatingMargins,Median_ebitdaMargins,Median_profitMargins,Median_earningsGrowth,Median_revenueGrowth,Median_forwardEps,Median_trailingEps,Median_forwardPE,Median_trailingPE,Median_pegRatio,Median_trailingPegRatio,Median_enterpriseToEbitda,Median_enterpriseToRevenue,Median_returnOnEquity,Median_returnOnAssets,Median_heldPercentInstitutions,Median_heldPercentInsiders,Median_debtToEquity,Median_quickRatio,Median_currentRatio,Median_dividendYield,Median_dividendRate,Median_trailingAnnualDividendRate,Median_fiveYearAvgDividendYield,Median_trailingAnnualDividendYield,Median_earningsQuarterlyGrowth,Median_priceToBook,Median_priceToSalesTrailing12Months
company_count,1.0,0.0656265804281576,0.6196595968507649,0.1433449556133911,0.4178212998762808,0.19436438733102018,-0.48214347617538855,-0.2243307550390756,-0.2328972651974078,-0.092942477900077,-0.07191529996154282,-0.18529051083507636,-0.16255141913004909,-0.11258287910869645,-0.022397773027114962,0.05162082186118224,-0.10237650084037392,-0.058706778186815724,0.029551910865130263,-0.40470248925290253,-0.43866501573331207,-0.013252729039255303,-0.11890305840664885,-0.140400457105445,0.317708551269953,0.1777305953624304,-0.0974208278259123,-0.03393115018787152,-0.042550787145732676,-0.09985078314412613,-0.07955304903239312,-0.09343303789277707,-0.041227267273459045,0.12965225221167
Sum_ebitdaUSD,0.0656265804281576,1.0,0.2847710754838558,0.8122136112248842,0.3181706285964846,-0.06822901513966312,-0.005060579088968495,-0.015171549681447034,-0.0044876775489988315,-0.02208698818806616,-0.028404791731514042,-0.019605649589314537,0.062378598195359666,-0.04822274619167023,-0.10240882679196636,-0.020263356951143202,0.06337339486413618,-0.11373371308078543,-0.07878641646102183,0.03569943718712331,0.07446633030298094,-0.22252969006960688,0.18174211721982078,-0.10338468387164443,-0.022195465988819992,-0.021661366283868243,0.06425465015805708,0.4619076867565613,0.4775118254117574,0.03482825574023638,0.08585249164551616,-0.023795155683790516,-0.1114094027189621,-0.0636457887892668
Sum_marketCapUSD,0.6196595968507649,0.2847710754838558,1.0,0.39253063249617165,0.6196052971528715,0.1641865932654601,0.016923244927426046,-0.009834846580361826,0.09439918837996256,-0.06502707266211274,-0.05962762090578006,-0.02628935865922519,0.002872196448617351,-0.06588976520680073,-0.07865441970528605,0.06139589048320575,-0.06168230937494942,0.05030213354929266,-0.050416095590767755,-0.08920869374059093,-0.10867860430759153,-0.1423079651439787,-0.0879994885354189,-0.05415153339752444,0.04059873558366395,-0.03144401198904128,0.03220715411903839,0.20847446926331734,0.21513553444387998,0.03220395873064209,0.015708237106070742,-0.07108108945017189,-0.04823966396951456,0.0013174580031488044
Sum_totalRevenueUSD,0.1433449556133911,0.8122136112248842,0.39253063249617165,1.0,0.3585500460082111,-0.09000005903217148,0.013959521010149821,-0.0028925625914534825,0.018816569890008766,-0.030840255392679112,-0.041064005041264895,-0.019981370571340647,0.052264699716666266,-0.04178687677553738,-0.10259673489412412,0.007322530283974621,0.09163336456788271,-0.05862214331878584,-0.06871487232473417,0.007392628510250829,0.018127401032319142,-0.20438381797295516,0.12372656638128449,-0.0527678333091454,-0.0608645919203154,-0.06684534418028147,0.05853709175570322,0.5011029668250183,0.521224957920707,0.04471245086224003,0.07378045610484013,-0.03361206766263735,-0.13492763837738259,-0.06021369595794201
Sum_fullTimeEmployees,0.4178212998762808,0.3181706285964846,0.6196052971528715,0.3585500460082111,1.0,-0.12510518566207784,0.009658753327774825,-0.16153587278430043,-0.030953882394241322,-0.08659358094398265,-0.11595200462071793,0.0225094378585538,0.014690489934393468,-0.06337500210774026,-0.09222908969465154,0.08247346313012467,-0.15070292246342715,0.035935338865695325,-0.1920605944439822,0.0037256079663332184,-0.027327270289093875,-0.15021021238228804,-0.02935947308962833,0.046905772411610626,-0.059824314077946715,-0.12176646583437263,-0.054871725248578467,0.04622826704364375,0.03170794511781801,-0.06877592276076815,-0.062261193328392306,-0.09798681342097444,-0.0019174147810947259,-0.136645383366484
Median_grossMargins,0.19436438733102018,-0.06822901513966312,0.1641865932654601,-0.09000005903217148,-0.12510518566207784,1.0,0.18273749648359475,0.4903059489947313,0.4620546984543334,-0.09567312908254685,-0.19147002903127328,-0.21544230943205514,-0.09082495532413583,0.15504424607892103,0.051841622835174295,0.10932317298440182,0.17792376942606616,0.18392680335734635,0.38386965166317544,-0.07596064643962729,-0.15230906119985022,0.06478653351297259,-0.20134135730850838,0.27119964465838264,0.31765431647893483,0.21348528938518155,0.2513999512139341,-0.05707445292165858,-0.07418200843561544,0.2006181451997514,0.2764919607834041,-0.10231130770304017,0.1203724013777493,0.25468272418667615
Median_operatingMargins,-0.48214347617538855,-0.005060579088968495,0.016923244927426046,0.013959521010149821,0.009658753327774825,0.18273749648359475,1.0,0.7075210840001739,0.7644862339684371,-0.01807854976477218,-0.09687124907553415,0.15143725515756143,0.18541211686189776,0.13398205718529577,-0.22646017922865855,0.07843118357098555,0.14844123209631802,0.3638283679887598,-0.07171776670673385,0.4894131238537285,0.5761667060515097,-0.020149703100280157,0.018927694973728634,0.2227197973389197,-0.44480667997857637,-0.3616702852724964,0.29018241019992735,0.005051493121098197,-0.010262908192227577,0.25239419366283783,0.26591684202511345,-0.016276376374999763,-0.10212166714994292,-0.3064067186029913
Median_ebitdaMargins,-0.2243307550390756,-0.015171549681447034,-0.009834846580361826,-0.0028925625914534825,-0.16153587278430043,0.4903059489947313,0.7075210840001739,1.0,0.7810586389798079,-0.04189595144561818,-0.061295174013429606,-0.03172940534541598,0.059329137678819185,0.19757469188181756,-0.30036140872367173,0.06845166864896043,0.4145222714312094,0.5349264819274466,0.02313968221758706,0.25390762140404516,0.34374743501667016,0.03251443497517896,-0.04994290022530763,0.14185120116894595,-0.3866322707183683,-0.3706836707809619,0.4111418661903248,-0.045726706228286174,-0.05102362062325155,0.3725871846367683,0.36691503414082216,-0.03007052934537315,-0.1751905800950377,-0.19469462939553983
Median_profitMargins,-0.2328972651974078,-0.0044876775489988315,0.09439918837996256,0.018816569890008766,-0.030953882394241322,0.4620546984543334,0.7644862339684371,0.7810586389798079,1.0,-0.00797774268536604,-0.145938247539791,0.12562081010336779,0.21338295749556854,0.06305600634255373,-0.20022619505434003,0.2153357451048224,0.22896700576356532,0.31274177480111803,0.302385472195825,0.4221852523067095,0.42159990365293115,-0.02718296584136085,-0.03485280166589435,0.20497754410692695,-0.07073373961668612,-0.02268292985987916,0.43087727433564016,-0.0077273895445891085,-0.017258764239298858,0.357278208107698,0.39944642468387054,-0.018950913489849786,-0.16166937563589326,0.06594581778772797
Median_earningsGrowth,-0.092942477900077,-0.02208698818806616,-0.06502707266211274,-0.030840255392679112,-0.08659358094398265,-0.09567312908254685,-0.01807854976477218,-0.04189595144561818,-0.00797774268536604,1.0,0.1850673582329537,-0.05475902864308357,0.0038324617315720756,-0.020157918521744967,-0.04295170295187155,0.08374334323180474,-0.07153373333683678,-0.09603764728848282,-0.0017253341295662332,0.456001306155719,0.20535016482830715,-0.023356224087212094,0.0022837128872943246,0.041440186280718584,-0.004707849756724479,0.057923825226883385,0.04545918493998558,-0.0745289022399264,-0.06369603109750578,0.0992937654299312,-0.05519142953676745,0.9407211720406298,0.016267221389404375,0.015656482509747827
