,industry,daily_agg_record_time,company_count,ebitdaUSD,marketCapUSD,totalRevenueUSD,fullTimeEmployees,grossMargins,operatingMargins,ebitdaMargins,profitMargins,earningsGrowth,revenueGrowth,forwardEps,trailingEps,forwardPE,trailingPE,pegRatio,trailingPegRatio,enterpriseToEbitda,enterpriseToRevenue,returnOnEquity,returnOnAssets,heldPercentInstitutions,heldPercentInsiders,debtToEquity,quickRatio,currentRatio,dividendYield,dividendRate,trailingAnnualDividendRate,fiveYearAvgDividendYield,trailingAnnualDividendYield,earningsQuarterlyGrowth,priceToBook,priceToSalesTrailing12Months
0,Advertising Agencies,2022-09-13 16:00:58.084772+00:00,31,13983419018.605,82935932098.037,90305709558.975,509224.0,0.421,0.065,0.125,0.021,-0.252,0.177,1.125,0.515,8.534,13.481,-0.06,0.758,7.34,1.212,0.095,0.025,0.676,0.08,67.824,1.103,1.183,0.045,2.325,1.725,3.64,0.037,-0.128,1.676,0.947
1,Aerospace & Defense,2022-09-13 16:00:53.655059+00:00,82,66813565044.967,961376480820.086,561365405442.563,1549592.0,0.254,0.073,0.115,0.057,-0.061,0.087,2.315,0.755,15.52,24.301,1.43,1.229,11.796,2.208,0.067,0.027,0.609,0.05,45.824,1.095,2.033,0.016,0.78,0.637,1.72,0.014,-0.072,2.798,1.961
2,Agricultural Inputs,2022-09-13 16:00:58.807864+00:00,30,42539055766.128,246863414064.271,134904361250.236,142104.0,0.394,0.159,0.19,0.107,0.286,0.53,8.74,10.48,10.369,15.345,0.975,1.827,7.271,2.029,0.274,0.089,0.213,0.467,51.699,1.032,1.824,0.014,2.38,1.59,1.93,0.016,0.264,2.889,1.869
3,Airlines,2022-09-13 16:00:52.460759+00:00,54,-16697013411.61,272586715334.921,547331585631.911,1400621.0,0.156,-0.079,0.01,-0.088,-0.125,0.68,1.27,-0.603,10.77,11.722,0.0,0.795,0.82,1.671,-0.158,-0.02,0.214,0.134,203.214,0.711,0.823,0.028,0.71,0.592,,0.018,-0.13,1.83,0.811
4,Airports & Air Services,2022-09-13 16:00:54.012169+00:00,23,38979697518.549,138116150114.596,77006990233.319,124804.0,0.387,0.13,0.298,0.06,0.214,0.615,0.98,0.49,16.98,23.084,0.45,3.962,8.464,4.49,0.068,0.018,0.203,0.443,79.227,1.112,1.286,0.052,7.65,6.548,,0.054,0.491,1.7,2.651
5,Aluminum,2022-09-13 16:01:01.107834+00:00,11,43765938599.286,54885007530.35,372697225365.412,170288.0,0.283,0.097,0.148,0.071,0.566,0.451,5.55,2.488,7.837,9.2,0.285,0.556,4.475,0.715,0.167,0.064,0.448,0.343,85.605,0.822,1.812,0.048,3.08,1.25,7.23,0.043,0.565,1.602,0.647
6,Apparel Manufacturing,2022-09-13 16:01:02.390466+00:00,26,13015599463.492,101528251473.484,89280690426.58,454145.0,0.535,0.125,0.147,0.086,-0.031,0.204,4.07,3.94,10.64,14.18,1.045,1.553,8.589,1.337,0.216,0.078,0.731,0.152,77.306,0.904,2.022,0.021,1.84,1.45,2.255,0.021,-0.075,3.352,1.245
7,Apparel Retail,2022-09-13 16:00:57.042762+00:00,41,28075445058.931,340284845722.733,217847076413.219,960733.0,0.44,0.093,0.114,0.062,-0.036,0.023,2.26,1.93,8.277,8.936,0.64,2.244,6.801,0.789,0.269,0.078,0.853,0.058,102.269,0.488,1.547,0.04,1.18,0.893,2.95,0.021,-0.029,3.072,0.505
8,Asset Management,2022-09-13 16:00:53.147068+00:00,108,83694521783.555,965622153287.335,334174763686.462,603753.0,0.717,0.425,0.381,0.243,-0.142,0.021,2.97,2.26,9.442,9.868,0.98,1.511,7.544,3.983,0.138,0.043,0.465,0.074,47.941,1.731,2.109,0.045,1.15,1.145,4.54,0.034,-0.168,1.584,3.55
9,Auto & Truck Dealerships,2022-09-13 16:01:01.839885+00:00,25,16712298439.705,113280114893.239,230364015439.577,256685.0,0.18,0.057,0.064,0.028,0.163,0.205,4.76,3.99,5.498,7.77,0.7,1.118,7.007,0.606,0.18,0.051,0.8,0.079,148.25,0.63,1.486,0.021,1.6,1.46,1.38,0.016,0.056,2.032,0.351
