industry,max,min,startrank,endrank,difference,rankgrowth
Biotechnology,2022-06-30,2021-09-30,28.0,25.0,3.0,1.5
Gold,2022-06-30,2021-09-30,89.0,86.0,3.0,1.5
Silver,2022-03-31,2021-09-30,129.0,128.0,1.0,3.0
Aluminum,2022-06-30,2021-09-30,62.0,62.0,0.0,4.0
Lumber & Wood Production,2022-06-30,2021-09-30,116.0,118.0,-2.0,5.0
Household & Personal Products,2022-06-30,2021-09-30,12.0,16.0,-4.0,6.0
Airlines,2022-06-30,2021-12-31,26.0,31.0,-5.0,7.5
Broadcasting,2022-03-31,2021-12-31,5.0,10.0,-5.0,7.5
Personal Services,2022-06-30,2021-09-30,124.0,131.0,-7.0,9.5
Restaurants,2022-09-30,2021-09-30,92.0,99.0,-7.0,9.5
Health Information Services,2022-06-30,2021-09-30,74.0,85.0,-11.0,11.0
Tobacco,2022-06-30,2021-09-30,6.0,19.0,-13.0,12.0
Apparel Retail,2022-09-30,2021-09-30,71.0,97.0,-26.0,13.0
Footwear & Accessories,2022-09-30,2021-09-30,98.0,127.0,-29.0,14.0
Software—Infrastructure,2022-09-30,2021-09-30,76.0,110.0,-34.0,15.0
Luxury Goods,2022-09-30,2021-09-30,80.0,119.0,-39.0,16.0
Steel,2022-09-30,2021-09-30,11.0,91.0,-80.0,17.0
Semiconductors,2022-09-30,2021-09-30,7.0,90.0,-83.0,18.0
